id;client_id;type;api_key;status;note;created_date;last_modified_date
1;d87aa00b-facd-45f2-bb79-1b0aaec3877c;CUSTOMER;3281e05d-e5c6-4151-a7a0-05c0da0faba9;PENDING;generally;2024-12-08T14:41:47;2024-12-09T07:13:57
2;7dbd2d3b-4bd5-4212-a1d2-8fbe9ce5db75;AGENT;c01d8b50-769d-459b-a5e1-4c10c6a5102c;ACTIVE;boo;2024-12-08T16:00:57;2024-12-08T13:10:00
3;45905b5f-ca62-43d9-9d9c-4bb75948088e;MERCHANT;ff02d241-dd66-457f-8041-cafb53ae341f;DELETED;once limited descriptive;2024-12-08T16:38:24;2024-12-09T08:00:11
4;ecb0a927-1ee3-47f1-a793-1091bf016bd6;INTERNAL;a21327be-57b4-4de5-a01f-f8095603abc1;ACTIVE;quicker gust;2024-12-08T19:32:44;2024-12-08T14:01:45
5;147e903e-11c8-47cc-bfef-3465f0a443bb;CUSTOMER;29be6b94-2b11-4cb1-b7f9-5522eb4c4d4a;PENDING;stabilise mob;2024-12-09T05:57:09;2024-12-09T11:55:03
6;00b1359d-50e9-46eb-819d-8e803da4f1bc;CUSTOMER;9758a633-7fa4-4753-bef4-3b73ec156d9c;BLOCKED;clamour;2024-12-09T11:03:09;2024-12-09T05:36:46
7;5b091889-66a6-46da-baaa-284723599c7b;MERCHANT;b98779db-9877-4848-b29b-371e3887e23f;DELETED;sham into;2024-12-09T09:39:40;2024-12-09T12:09:32
8;058d64f7-30c9-4ed2-a8cc-6bbc783e124d;MERCHANT;93e1e81d-774d-4fbe-8209-238f47bce73e;PENDING;an;2024-12-08T22:54:51;2024-12-09T02:50:00
9;202eb0b9-16d4-4112-a8ed-bd283ca8bd7e;AGENT;f3686dce-84b9-4b15-9423-c3fc436fee0a;DELETED;partially;2024-12-09T07:41:48;2024-12-09T07:24:21
10;7b06a659-a3f1-4d78-bca8-72f16562758f;MERCHANT;e438f5eb-d303-4d4d-baa3-3cb6a845b8d1;ACTIVE;guacamole;2024-12-08T22:31:41;2024-12-09T03:08:10
